Anio;TipoCampana;Item;Monto
2016;Concejales;na;124115841
2016;Alcaldes;na;94277798
2017;Concejales;na;124115841
2017;Alcaldes;na;94277798
2017;Senadores;PRODUCCION CAPSULA PARLAMENTARIA;13750000
2017;Diputados;PROPAGANDA IMPRESA;11440000
2017;Senadores;APORTE MONETARIO PARTIDO POLITICO A CANDIDATO;8000000
2017;Senadores;ENCUESTA;7467332
2017;Senadores;CIERRE DE CAMPAÑA;7200000
2017;Senadores;DIPTICOS PALOMAS;6775265
2017;Senadores;CALENDARIOS PROPAGANDA;5935125
2017;Senadores;EXCESO APORTE;5573442
2017;Senadores;PRODUCCION EVENTO;3000000
2017;Senadores;IMPRESIONES DE AFICHES;2536380
2017;Senadores;FRASES RADIALES RADIO MARAY DE ATACAMA;2499000
2017;Diputados;VOLANTES;2142000
2017;Senadores;ENVIO DE MENSAJES POR WHATSAPP;2000000
2017;Senadores;VOLANTES DIPTICOS AUTOADHESIVOS;1813560
2017;Senadores;UNIFORME BRIGADISTAS;1486310
2017;Senadores;COLIGÜES;1309000
2017;Senadores;PROPAGANDA ELECTORAL;1289701
2017;Senadores;PROPAGANDA ELECTORAL;1230000
2017;Senadores;IMPRESIONES DE BANNER;1220155
2017;Senadores;FRASES RADIALES RADIO TAMARUGAL DE CALDERA;1175000
2017;Senadores;IMPRESIONES BANNER CAMPAÑA;1074856
2017;Diputados;BRIGADISTA;1074000
2017;Diputados;VOLANTES;959140
2017;Senadores;TRANSPORTE MATERIAL PARA CAMPAÑA;900001
2017;Senadores;TRASLADO MATERIAL CAMPAÑA;833000
2017;Diputados;VOLANTES;749700
2017;Senadores;DIPTICOS;741370
2017;Diputados;CHAPITAS Y BOLSAS;721140
2017;Senadores;PUBLICIDAD RADIAL;708050
2017;Senadores;PUBLICIDAD RADIAL;699720
2017;Senadores;PUBLICIDAD RADIAL;678300
2017;Senadores;BRIGADISTA DE CAMPAÑA;660000
2017;Senadores;BRIGADISTA CAMPAÑA;660000
2017;Diputados;BRIGADISTA;660000
2017;Senadores;ARRIENDO ESPACIO RADIAL;643552
2017;Senadores;PUBLICIDAD CINTILLO;642600
2017;Diputados;VOLANTES;633080
2017;Senadores;SERVICIO ADMINISTRADOR ELECTORAL GENERAL;611111
2017;Diputados;BRIGADISTA;600000
2017;Senadores;SERVICIO DE TRANSPORTE DE PALOMAS;595000
2017;Senadores;PUBLICIDAD RADIAL;575920
2017;Senadores;CAMPAÑA PUBLICITARIA;568112
2017;Senadores;DIPTICOS COUCHE;543830
2017;Senadores;GASTOS MENORES;503330
2017;Senadores;GESTION EN PROPAGANDA ELECTORAL;500000
2017;Senadores;REDES SOCIALES CAMPAÑA ELECTORAL;500000
2017;Diputados;CORTAVIENTOS BRIGADISTAS;450000
2017;Senadores;TRABAJO ADMINISTRATIVO ELECTORAL OCTUBRE;444444
2017;Senadores;TRABAJO ADMINISTRATIVO ELECTORAL NOVIEMBRE;444444
2017;Senadores;PROPAGANDA RADIAL;408000
2017;Senadores;ARRIENDO ESPACIO RADIAL;400000
2017;Senadores;SESION FOTOGRAFICA CANDIDATOS SENADORES;375000
2017;Senadores;PUBLICIDAD RADIO XQA-5 Y RADIO ANDREA;357000
2017;Senadores;RESPALDO AUDIOVISUAL FRANJA ELECTORAL;300000
2017;Diputados;BRIGADISTA;300000
2017;Diputados;BRIGASDISTA;280000
2017;Senadores;UNIFORME BRIGADISTAS;278460
2017;Diputados;BRIGADISTA;220000
2017;Senadores;EMPRESA NO ENTREGA LA FACTURA;207712
2017;Senadores;PROPAGANDA RADIAL;202500
2017;Senadores;DISEÑO MATERIAL DE CAMPAÑA;200000
